Nom,Cognoms,DNI,País d'origen,Ciutat,Dia de Naixement,Mes de Naixement,Any de Naixement,Gènere,Salari mensual,Grup Professional,Càrrec,Nombre_fills,Te_cotxe,Km_anuals,Consum_mitja_L_100km,Temperatura_mitjana_ciutat,Cost_vida_index,Transport_public_score,Clima_tipus,cost_vida_categoria,transport_categoria,franja_edat,te_fills,increment_percent,salari_ajustat,index_dependencia_familiar,ratio_salari_cost_vida,etapa_vital,Edat
Noa,Serra,14308421X,Espanya,Alacant,27.0,4.0,1961.0,Dona,1358.0,Grup A,Tècnic IT,4.0,,,,16.7,68.0,7.0,Mediterrani,low,low,60+,True,8.5,1473.43,271.6,21.67,2,65.0
Joana,,82772208R,Espanya,Valladolid,24.0,10.0,1961.0,Dona,982.0,Grup A,Administratiu/va,0.0,True,14178.0,7.7,38.0,64.0,6.7,Continental,low,low,60+,False,7.0,1050.74,982.0,16.42,1,65.0
Emilia,Hoffmann,66851377P,Alemanya,Stuttgart,21.0,2.0,1961.0,Dona,1003.0,Grup A,Cap de projecte,0.0,True,6931.0,12.2,12.4,79.0,7.9,Continental,high,high,60+,False,8.0,1083.24,1003.0,13.71,1,65.0
Xavier,Casals,43491314K,Espanya,Alacant,22.0,4.0,1980.0,Home,1800.0,Grup A,Analista junior,0.0,True,38248.0,0.5,19.7,68.0,7.0,Mediterrani,low,low,45-59,False,7.5,1935.0,1800.0,28.46,1,46.0
Sara,Hernández Costa,91363974Q,Espanya,València,14.0,6.0,2004.0,Home,982.0,Grup A,Analista junior,0.0,,,,15.8,70.0,7.5,Mediterrani,medium,medium,18-29,False,6.0,1040.92,982.0,14.87,0,22.0
Sigrid,Olsen,70604045C,Noruega,Bergen,19.0,6.0,1964.0,Dona,1385.0,Grup A,Administratiu/va,0.0,True,80000.0,25.0,8.8,85.0,8.8,Oceànic,high,high,60+,False,8.0,1495.8,1385.0,17.6,1,62.0
Adrià,Ribera,63640499F,Espanya,Palma,16.0,7.0,2002.0,Dona,889.0,Grup A,Analista,0.0,,,,19.2,73.0,7.2,Mediterrani,medium,medium,18-29,False,6.0,942.34,889.0,12.91,0,24.0
Riccardo,Bianchi,69401199L,Itàlia,Milano,11.0,10.0,1993.0,Dona,1121.0,Grup A,Tècnic IT,0.0,True,20000.0,7.4,12.6,80.0,7.5,Continental,high,medium,30-44,False,8.0,1210.68,1121.0,15.13,1,33.0
Valentina,Rossi,83300637L,Itàlia,Genova,18.0,7.0,1982.0,Dona,1094.0,Grup A,Analista senior,4.0,False,,,42.0,72.0,6.9,Mediterrani,medium,low,30-44,True,9.0,1192.46,218.8,16.56,2,44.0
Chloé,Durand,96691619E,França,Toulouse,16.0,12.0,1973.0,Home,751.0,Grup A,Responsable de vendes,2.0,,,,10.7,74.36363636363636,7.615909090909091,,high,high,45-59,True,10.0,826.1,250.33,11.11,1,53.0
