Nom,Cognoms,DNI,País d'origen,Ciutat,Dia de Naixement,Mes de Naixement,Any de Naixement,Gènere,Salari mensual,Grup Professional,Càrrec,Nombre_fills,Te_cotxe,Km_anuals,Consum_mitja_L_100km,Temperatura_mitjana_ciutat,Cost_vida_index,Transport_public_score,Clima_tipus,cost_vida_categoria,transport_categoria,franja_edat,te_fills,increment_percent,salari_ajustat,index_dependencia_familiar,ratio_salari_cost_vida,etapa_vital,Edat
Joana,Gil Navarro,66722344X,Espanya,Valladolid,23.0,3.0,1958.0,Dona,1469.0,Grup B,Cap de projecte,3.0,True,32108.0,25.0,10.1,64.0,6.7,Continental,low,low,60+,True,7.0,1571.83,367.25,24.56,2,68.0
Pol,Gil,58586340F,Espanya,Sevilla,13.0,10.0,1985.0,Home,1478.0,Grup B,Analista,2.0,False,,,18.3,65.0,7.0,Mediterrani,low,low,30-44,True,6.5,1574.07,492.67,24.22,1,41.0
David,Vila,82070937P,Espanya,Bilbao,29.0,11.0,1965.0,Dona,1284.0,Grup B,Administratiu/va,0.0,True,54533.330960854095,11.8,13.1,72.0,7.8,Oceànic,medium,high,60+,False,5.5,1354.62,1284.0,18.81,1,61.0
Alexia,Puig,25014631B,Espanya,Las Palmas de Gran Canaria,1.0,8.0,1978.0,Dona,2069.0,Grup B,Cap de projecte,0.0,,,,19.9,62.0,6.8,Subtropical,low,low,45-59,False,6.0,2193.14,2069.0,35.37,1,48.0
David,Gómez Vila,36998038E,Espanya,Palma,25.0,9.0,1971.0,Dona,2349.0,Grup B,Cap de projecte,0.0,True,6196.0,10.6,17.8,73.0,7.2,Mediterrani,medium,medium,45-59,False,6.5,2501.68,2349.0,34.27,1,55.0
Nora,Andersen Pedersen,37289414J,Noruega,Stavanger,8.0,3.0,1963.0,Dona,1338.0,Grup B,Analista junior,0.0,False,,,7.6,87.95454545454545,9.036363636363637,,high,high,60+,False,6.5,1424.97,1338.0,16.2,1,63.0
Guillem,Vidal,52169044F,Espanya,Zaragoza,22.0,4.0,1974.0,Home,2419.0,Grup B,Cap de projecte,1.0,,,,38.0,68.0,7.0,Continental,low,low,45-59,True,7.5,2600.42,1209.5,38.24,1,52.0
Carmen,Hernández Serra,36786211Z,Espanya,Tarragona,8.0,8.0,1960.0,Home,1336.0,Grup B,Administratiu/va,3.0,True,65950.0,,16.394871794871793,67.0,6.9,Mediterrani,low,low,60+,True,7.0,1429.52,334.0,21.34,2,66.0
Nil,Fernández Vidal,69345683K,Espanya,Bilbao,15.0,8.0,1978.0,Home,1751.0,Grup B,Analista senior,0.0,True,64444.0,0.5,16.0,72.0,7.8,Oceànic,medium,high,45-59,False,6.0,1856.06,1751.0,25.78,1,48.0
Sergio,Ribera,30509175E,Espanya,Màlaga,23.0,7.0,1972.0,Dona,1880.0,Grup B,Analista senior,4.0,,,,19.73181818181818,68.5,7.209797297297297,,medium,medium,45-59,True,8.0,2030.4,376.0,29.64,2,54.0
Antoine,Robert,38408562Z,França,Lyon,11.0,7.0,1974.0,Prefereix no contestar,1479.0,Grup B,Administratiu/va,0.0,False,,,10.7,74.0,7.6,Continental,high,high,45-59,False,7.0,1582.53,1479.0,21.39,1,52.0
