Nom,Cognoms,DNI,País d'origen,Ciutat,Dia de Naixement,Mes de Naixement,Any de Naixement,Gènere,Salari mensual,Grup Professional,Càrrec,Nombre_fills,Te_cotxe,Km_anuals,Consum_mitja_L_100km,Temperatura_mitjana_ciutat,Cost_vida_index,Transport_public_score,Clima_tipus,cost_vida_categoria,transport_categoria,franja_edat,te_fills,increment_percent,salari_ajustat,index_dependencia_familiar,ratio_salari_cost_vida,etapa_vital,Edat
Marc,Muñoz,48840994W,Espanya,Alacant,8.0,11.0,1960.0,Home,2718.0,Grup C,Analista senior,0.0,True,19496.0,10.4,18.7,68.0,7.0,Mediterrani,low,low,60+,False,4.0,2826.72,2718.0,41.57,1,66.0
Carmen,López,47376585K,Espanya,Barcelona,8.0,9.0,1962.0,Home,2855.0,Grup C,Responsable de vendes,4.0,True,20000.0,5.9,15.4,78.0,8.5,Mediterrani,high,high,60+,True,6.5,3040.58,571.0,38.98,2,64.0
Adrià,Domènech,70505620F,Espanya,Palma,9.0,2.0,1973.0,Dona,2660.0,Grup C,Responsable de vendes,0.0,True,,,16.3,73.0,7.2,Mediterrani,medium,medium,45-59,False,5.0,2793.0,2660.0,38.26,1,53.0
Adrià,Ferrer,26194158Y,Espanya,Sevilla,10.0,5.0,1987.0,Home,2628.0,Grup C,Administratiu/va,4.0,,,,-5.0,65.0,7.0,Mediterrani,low,low,30-44,True,5.0,2759.4,525.6,42.45,2,39.0
Giorgio,Ricci Greco,16109013R,Itàlia,Napoli,9.0,3.0,1992.0,Dona,2400.0,Grup C,Cap de projecte,0.0,False,,,15.8,65.0,6.5,Mediterrani,low,low,30-44,False,3.5,2484.0,2400.0,38.22,1,34.0
Marco,Ferrari Russo,43311626A,Itàlia,Venezia,3.0,5.0,1994.0,Dona,2564.0,Grup C,Tècnic IT,4.0,,,,13.85,79.0,7.0,Mediterrani,high,low,30-44,True,7.0,2743.48,512.8,34.73,2,32.0
Pol,Domènech,50814428E,Espanya,A Coruña,23.0,8.0,1965.0,Dona,2510.0,Grup C,Tècnic IT,1.0,,,,15.6,69.0,7.1,Oceànic,medium,medium,60+,True,6.0,2660.6,1255.0,38.56,1,61.0
Oriol,,21819185X,Espanya,Girona,15.0,1.0,1993.0,Home,3275.0,Grup C,Administratiu/va,0.0,,,,13.1,66.0,6.8,Mediterrani,low,low,30-44,False,3.5,3389.62,3275.0,51.36,1,33.0
Noa,Pérez,23470708Z,Espanya,Murcia,11.0,10.0,1990.0,Home,2132.0,Grup C,Analista junior,2.0,False,,,23.4,60.0,6.5,Mediterrani,low,low,30-44,True,5.0,2238.6,710.67,37.31,1,36.0
Joana,Gil Ferrer,75679047L,Espanya,Girona,4.0,11.0,1984.0,Dona,2130.0,Grup C,Tècnic IT,4.0,False,,,13.1,66.0,6.8,Mediterrani,low,low,30-44,True,5.0,2236.5,426.0,33.89,2,42.0
,Gómez Vila,41934639H,Espanya,Bilbao,26.0,6.0,1958.0,Home,1739.0,Grup C,Administratiu/va,0.0,False,,,12.1,72.0,7.8,Oceànic,medium,high,60+,False,4.0,1808.56,1739.0,25.12,1,68.0
,Costa Hernández,23769360E,Espanya,Sevilla,18.0,6.0,1988.0,Dona,2418.0,Grup C,Analista junior,0.0,True,80000.0,0.5,17.5,65.0,7.0,Mediterrani,low,low,30-44,False,3.5,2502.63,2418.0,38.5,1,38.0
Joana,Torres,71428713R,Espanya,Palma,25.0,12.0,1962.0,Home,2275.0,Grup C,Cap de projecte,0.0,,,,18.2,73.0,7.2,Mediterrani,medium,medium,60+,False,4.5,2377.38,2275.0,32.57,1,64.0
Alexia,Gil,89968863W,Espanya,Palma,25.0,11.0,1973.0,Prefereix no contestar,2257.0,Grup C,Responsable de vendes,1.0,True,80000.0,11.5,17.7,73.0,7.2,Mediterrani,medium,medium,45-59,True,6.5,2403.7,1128.5,32.93,1,53.0
Elena,Moretti,19031632A,Itàlia,Roma,7.0,4.0,1959.0,Prefereix no contestar,2488.0,Grup C,Analista,1.0,True,42398.0,25.0,19.2,78.0,7.6,Mediterrani,high,high,60+,True,6.5,2649.72,1244.0,33.97,1,67.0
Chiara,Colombo Ferrari,29374563Z,Itàlia,Bologna,3.0,9.0,1969.0,Dona,2166.0,Grup C,Analista,3.0,,,,10.8,74.32967032967034,7.1098901098901095,,high,medium,45-59,True,7.5,2328.45,541.5,31.33,2,57.0
Arthur,Fournier,47991562N,França,Nice,11.0,9.0,1973.0,Home,2359.0,Grup C,Responsable de vendes,0.0,,,,18.9,74.36363636363636,7.615909090909091,,high,high,45-59,False,5.5,2488.74,2359.0,33.47,1,53.0
Nil,Gómez,82553061X,Espanya,Madrid,29.0,11.0,1982.0,Dona,2138.0,Grup C,Tècnic IT,,False,,,15.0,75.0,8.0,Continental,high,high,30-44,False,4.5,2234.21,,29.79,1,44.0
Irene,Romero Roca,32396311S,Espanya,A Coruña,18.0,3.0,1999.0,Home,2901.0,Grup C,Cap de projecte,1.0,True,50000.0,0.5,19.3,69.0,7.1,Oceànic,medium,medium,18-29,True,4.5,3031.54,1450.5,43.94,1,27.0
Pau,Roca,47342819E,Espanya,Palma,24.0,9.0,1983.0,Dona,2180.0,Grup C,Administratiu/va,0.0,False,,,14.6,73.0,7.2,Mediterrani,medium,medium,30-44,False,4.0,2267.2,2180.0,31.06,1,43.0
Xavier,Pérez,58376818P,Espanya,Girona,21.0,2.0,1975.0,Dona,2303.0,Grup C,Analista junior,0.0,True,35142.0,10.2,10.2,66.0,6.8,Mediterrani,low,low,45-59,False,4.5,2406.63,2303.0,36.46,1,51.0
Astrid,Olsen Hagen,54445587H,Noruega,Bergen,23.0,10.0,1987.0,Dona,2111.0,Grup C,Administratiu/va,0.0,True,65950.0,,6.9,85.0,8.8,Oceànic,high,high,30-44,False,4.5,2206.0,2111.0,25.95,1,39.0
Lucas,Petit,17324144F,França,Paris,21.0,5.0,1983.0,Prefereix no contestar,2227.0,Grup C,Responsable de vendes,1.0,False,,,12.6,85.0,9.0,Oceànic,high,high,30-44,True,6.0,2360.62,1113.5,27.77,1,43.0
Irene,Roca,89731181Z,Espanya,Las Palmas de Gran Canaria,16.0,6.0,1973.0,Home,2567.0,Grup C,Analista,3.0,,,,25.2,62.0,6.8,Subtropical,low,low,45-59,True,6.0,2721.02,641.75,43.89,2,53.0
Pol,,61628545J,Espanya,València,17.0,6.0,1996.0,Home,2648.0,Grup C,Analista senior,1.0,,,,18.3,70.0,7.5,Mediterrani,medium,medium,30-44,True,5.5,2793.64,1324.0,39.91,1,30.0
